,1/31/2019,2/31/2019,3/31/2019,4/31/2019,5/31/2019,6/31/2019,7/31/2019,8/31/2019,9/31/2019,10/31/2019,11/31/2019,12/31/2019,1/31/2020,2/31/2020,3/31/2020,4/31/2020,5/31/2020,6/31/2020,7/31/2020,8/31/2020,9/31/2020,10/31/2020,11/31/2020,12/31/2020,1/31/2021,2/31/2021,3/31/2021,4/31/2021,5/31/2021,6/31/2021,7/31/2021,8/31/2021,9/31/2021,10/31/2021,11/31/2021,12/31/2021,1/31/2022,2/31/2022,3/31/2022,4/31/2022,5/31/2022,6/31/2022,7/31/2022,8/31/2022,9/31/2022,10/31/2022,11/31/2022,12/31/2022,1/31/2023,2/31/2023,3/31/2023,4/31/2023,5/31/2023,6/31/2023,7/31/2023,8/31/2023,9/31/2023,10/31/2023,11/31/2023,12/31/2023,1/31/2024,2/31/2024,3/31/2024,4/31/2024,5/31/2024,6/31/2024,7/31/2024,8/31/2024,9/31/2024,10/31/2024,11/31/2024,12/31/2024,1/31/2025,2/31/2025,3/31/2025,4/31/2025,5/31/2025,6/31/2025,7/31/2025
KALIMANTAN TENGAH,50.06,52.32,62.78,56.74,52.24,46.84,57.93,53.96,52.49,61.12,58.44,55.85,39.74,48.28,35.86,25.03,13.73,21.07,30.07,37.29,43.85,53.47,58.21,48.27,32.54,42.05,46.71,39.86,36.23,47.18,27.8,34.63,46.24,56.83,57.91,51.89,43.2,44.97,49.56,42.64,53.56,54.71,54.33,50.75,54.61,57.74,58.46,56.76,43.45,50.68,48.54,38.92,54.54,55.2,52.99,56.19,50.87,56.28,55.58,56.02,40.85,43.49,45.35,43.04,57.63,55.59,56.55,55.2,52.62,60.67,60.93,54.46,40.3,46.79,34.79,43.96,47.5,45.94,50.54
KALIMANTAN SELATAN,43.87,47.54,54.43,55.01,40.03,45.14,55.22,48.9,50.18,51.26,55.52,52.47,37.2,48.35,37.53,13.29,16.85,23.92,37.23,45.8,43.69,49.64,52.74,51.21,43.3,38.01,38.38,34.2,31.78,41.45,34.28,32.88,41.88,50.67,53.44,57.63,41.08,42.59,46.85,34.85,52.72,53.05,52.54,49.75,53.14,60.51,56.77,58.38,43.69,51.86,51.43,46.86,55.3,54.26,55.26,52.26,54.3,60.21,68.7,62.18,51.15,50.5,48.48,47.05,56.9,57.77,59.95,59.82,58.24,60.36,61.77,64.72,49.84,53.29,35.39,52.41,52.69,51.58,52.17
KALIMANTAN TIMUR,47.9,49.06,59.05,55.72,49.9,52.98,57.83,56.57,58.03,61.05,64.37,63.9,50.84,61.25,39.94,26.32,26.31,34.62,38.59,39.1,51.19,51.34,54.76,59.78,42.98,43.82,49.38,47.43,46.77,57.67,39.04,41.98,52.74,62.4,63.45,62.62,60.78,58.9,63.82,51.3,62.54,64.6,61.23,60.32,60.25,64.2,66.51,67.52,53.52,60.71,57.44,53.62,58.12,62.38,63.04,58.82,60.48,62.39,67.39,68.76,53.81,60.49,53.49,54.87,69.6,70.2,69.88,67.62,70.31,72.74,68.39,69.41,52.05,52.78,36.43,50.69,52.67,51.69,56.1
KALIMANTAN UTARA,60.65,40.02,52.82,43.76,31.45,44.78,40.18,40.08,37.54,48.13,44.97,48.61,33.11,40.95,27.67,10.08,27.02,19.8,31.95,44.35,45.27,45.51,45.13,39.34,34.2,46.57,39.85,40.64,34.34,51.67,33.07,41.03,58.09,50.92,63.57,55.07,50.43,48.94,54.91,35.81,44.47,49.47,46.16,48.77,44.44,50.26,47.62,47.61,43.88,50.6,52.95,40.46,55.44,55.16,50.49,52.41,46.21,58.75,60.9,59.27,44.48,47.23,47.57,36.65,51.09,55.02,56.25,58.66,61.25,57.72,59.3,58.87,32.77,41.39,33.82,40.87,48.81,49.55,47.51
SULAWESI UTARA,67.58,64.9,65.81,65.7,53.24,60.48,67.3,67.98,64.55,61.99,53.66,59.49,59.1,44.01,33.13,13.98,19.14,24.62,26.17,40.05,45.05,52.25,51.48,42.39,38.84,38.81,48.86,43.01,38.94,49.13,33.45,27.36,33.11,47.74,58.08,49.16,40.11,37.71,39.24,35.06,43.08,41.52,43.35,41.72,41.68,47.41,49.83,50.08,35.83,39.25,36.48,35.53,41.48,41.42,42.48,40.45,46.12,45.49,50.66,53.26,36.33,39.31,38.9,41.71,42.18,52.45,53.98,52.18,54.04,52.03,54.62,53.99,37.54,36.68,33.46,36.81,43.23,43.99,43.74
SULAWESI TENGAH,35.45,32.76,48.61,48.34,34.48,36.81,47.39,53.07,48.15,53.05,51.13,56.65,47.94,48.35,38.94,17.66,9.49,19.07,34.01,41.35,39.25,40.3,50.84,49.69,30.37,31.5,40.88,46.45,22.59,54.88,27.47,31.78,42.01,53.71,55.51,52.74,44.4,45.97,54.8,33.57,49.39,51.2,50.2,46.82,46.63,53.79,63.09,60.66,41.26,55.22,45.08,31.95,54.93,51.9,54.02,60.15,54.67,60.46,65.17,55.12,45.65,54.4,47.67,46.52,57.19,54.64,54.46,60.97,60.68,60.5,61.81,57.28,45.23,49.6,36.4,44.46,48.97,50.81,49.45
SULAWESI SELATAN,44.52,45.68,45.22,47.43,37.69,43.33,54.85,49.6,56.55,53.35,56.01,56.11,48.14,49.26,43.26,20.9,26.28,18.98,34.42,46.81,38.38,34.27,42.56,54.82,26.43,30.19,36.16,35.55,30.29,41.99,28.68,28.85,41.62,49.13,47.99,51.96,38.9,40.27,51.16,34.84,46.98,53.58,51.81,48.42,52.31,51.75,55.46,54.26,40.2,48.88,47.12,37.42,45.2,47.17,48.02,48.79,50.94,53.69,57.39,55.17,40.74,49.27,43.95,42.13,49.33,52.21,53.67,54.59,52.18,53.19,54.24,52.39,45.93,45.33,29.52,41.68,40.99,42.99,47.73
SULAWESI TENGGARA,41.73,33.74,40.51,37.54,32.07,32.93,37.76,41.47,36.47,47.58,45.17,53.65,39.18,54.32,29.39,10.48,12.76,19.07,21.96,28.76,32.3,35.91,40.29,43.63,29.35,36.14,39.76,39.93,31.67,47.58,25.38,32.5,43.09,39.81,44.84,44.66,38.29,41.04,40.07,27.36,32.85,41.29,37.06,39.37,42.77,44.7,46.93,49.16,34.94,42.28,41.11,30.23,41.76,40.48,39.57,41.59,44,53.48,51.4,49.41,34.76,34.28,31.9,30.7,42.05,38.18,45.04,40.65,43.83,43.23,50.26,49.51,29.35,31.01,22.72,29.12,34.47,33.19,34.8
GORONTALO,52.12,39.72,49.55,52.12,38.96,39.84,44.7,49.54,48.43,48.44,48.79,42.29,30.5,44.86,29.97,12.32,6.14,10.24,24.73,35.31,43.15,41.01,58.8,56.9,29.58,44.66,49.67,47.44,32.13,47.68,30.03,34.16,44.05,53.95,59.11,52.58,29.6,36.75,47.22,28.4,42.44,44.03,44.76,44.56,47.05,53.57,59.83,46.89,30.73,39.58,37.57,34.72,46.59,44.81,35.37,36.23,56.45,49.59,48.07,49.33,38.33,35.52,35.7,40.24,45.64,46.92,52.86,58.52,56.95,57.78,64.75,56.59,32.59,33.02,23.52,29.27,32.9,44.45,36.1
SULAWESI BARAT,41.26,43.63,52.16,46.3,44.92,43.23,49.25,47.11,48.62,48.63,46.74,49.21,42.59,49.72,38.62,4.64,11.25,23.31,10.49,30.86,31.31,36.2,43.08,49.54,17.23,19.94,31.38,24.11,13.47,26.76,17.88,17.44,29.68,34.01,43.88,35.64,11.86,21.66,31.16,17.12,33.73,26.88,31.46,27.78,35.96,42.41,33.82,29.92,20.23,28.25,25.74,16.23,44.18,41.54,43.79,39.9,29.19,48.05,43.13,48.14,26.84,34.08,22.58,19.42,28.51,28.02,29.31,29.97,38.35,37.47,51.64,41.65,22.9,20.86,15.34,18.51,23.11,28.7,28.6
MALUKU,23.07,31.27,32.53,34.15,26.29,30.19,37.79,43.11,45.98,49.38,46.74,44.09,31.79,38.16,26.92,4.4,20.95,38.75,40.5,42.29,46.88,46.9,45.18,43.29,31.56,41.1,41.4,43.35,37.33,43.04,30.37,37.11,42.72,42.77,41.83,39.39,40.36,34.44,35.83,25.82,31.54,32.34,31.92,27.35,32.67,35.89,36.71,39.47,27.9,31.09,29.94,32.12,33.06,32.4,37.6,38.09,37.84,41.53,43.9,41.89,29.54,33.32,28.8,29.68,37.48,38.07,40.07,37.11,35.12,41.85,36.04,39.54,24.16,27.66,24.44,28.25,33.01,32.15,33.98
MALUKU UTARA,31.75,51.96,48.62,50.45,41.53,37.57,47.93,50.31,58.27,53.31,61.98,63.22,56.74,41.15,24.96,21.4,9.77,17.02,9.5,16.37,25.83,37.03,39.47,43.19,31,34.73,38.28,44.98,39.4,43.27,28.92,50.18,55.44,49.62,51.66,48.79,38.87,47.72,43.28,36.75,50.77,50.27,42.87,47.06,52.93,58.53,44.5,42.88,36.96,46.84,45.68,34.62,42.53,36.98,49.65,46.87,41.73,50.02,57.39,50.46,35.38,36.15,37.39,38.56,43.33,46.69,47.89,49.61,52.24,49.89,47.72,49,36.67,36.21,28.51,33.49,42.97,44.24,44.82
PAPUA BARAT,42.17,47.02,47.91,51.21,49.87,39.51,49.59,49.02,49.54,51.78,65.3,56.68,50.4,57.41,45.75,12.17,10.73,14.53,30.53,38.76,44.78,38.17,53.51,58.51,39.4,44.58,47.11,45.64,34.61,49.6,28.81,35.76,51.47,56.9,67.16,53.76,44.07,47.67,49.14,39.98,38.62,54.23,44.37,48.83,50.46,54.18,56.55,49.97,41.9,44.48,42.93,33.03,45.74,47.52,47.76,47.93,44,57.93,62.06,52.62,28.98,26.54,35.73,24.61,27.84,33.33,37.09,45.52,43.61,32.78,48.08,38.95,34.5,23,19.93,20.22,22.38,28.58,29.38
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.72,42.72,48.63,43.26,52.05,52.45,46.5,47.09,64.57,53.9,57.51,54.06,45.2,46.99,36.75,37.88,35.23,40.64,41.6
PAPUA,36.09,40.14,59.08,52.46,45.99,38.73,51.08,49.22,38.13,42.87,60.27,48.33,41.14,51.43,32.88,17.16,19.56,27.09,17.49,28.97,38.44,46.58,55.22,36.25,35,32.64,43.28,33.69,38.9,44.93,40.16,41.22,54.96,49.29,56.93,50.86,39.54,37.66,38.18,38.62,32.98,34.94,38.11,35.51,39.44,39.79,33.72,39.06,26.67,33.63,39.79,34.83,31.35,33.06,34.91,37.7,40.23,35.68,47.84,46.02,51.47,35.48,45.27,33.57,39.41,45.34,39.32,48.91,42.61,45.99,52.11,52.22,34.41,33.89,29.61,42.89,39.55,38.62,42.21
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.31,45.93,47.64,38.07,60.58,51.3,63.48,57.5,58.62,67.41,56.92,48.94,53.82,40.19,53.55,40.29,47.7,49.1,60.67
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.22,37.59,49.41,36.33,40.68,39.69,40.77,40.2,30.64,47.37,41.72,43.17,35.51,40.53,27.23,32.86,46.9,40.89,34.42
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.91,23.44,25.57,24.76,28.02,35.41,33.44,44.12,31.88,33.33,31.01,33.14,32.16,37.09,28.3,13.7,24.06,13.21,16.85
INDONESIA,51.47,52.44,52.88,53.9,43.53,52.27,56.73,54.14,53.52,56.77,58.58,59.39,49.17,49.22,32.24,12.67,14.45,19.7,28.07,32.93,32.12,37.48,40.14,40.79,30.35,32.4,36.07,34.63,31.97,38.55,22.38,25.07,36.64,45.62,47.83,51.57,42.43,38.54,45.15,34.23,49.85,50.28,49.77,47.38,50.02,52.31,54.41,56.9,44.86,47.83,46.26,41.37,49.03,53.67,54.63,52.46,53.02,53.02,56.72,59.74,46.72,49.45,43.41,47.14,54.03,54.69,56.36,54.85,54.68,55.67,54.96,58.06,48.38,47.21,33.56,46.98,48.28,49.98,52.79
