provinsi,tanggal,hotel__ratio,flight__ratio,train__ratio,bus__ratio,ship__ratio,holiday_ratio,recreation_ratio,destination_ratio
ACEH,2020-09-01,1.5384615147929e-08,1.5384615147929e-08,1.5384615147929e-08,1.5384615147929e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08
ACEH,2020-10-01,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08
ACEH,2020-11-01,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
ACEH,2020-12-01,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08
ACEH,2021-01-01,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
ACEH,2021-02-01,1.5624999755859382e-08,1.5624999755859382e-08,1.5624999755859382e-08,1.5624999755859382e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08
ACEH,2021-03-01,1.4925372911561597e-08,1.4925372911561597e-08,1.4925372911561597e-08,1.4925372911561597e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08
ACEH,2021-04-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08
ACEH,2021-05-01,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
ACEH,2021-06-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2021-07-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2021-08-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2021-09-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08
ACEH,2021-10-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08
ACEH,2021-11-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
ACEH,2021-12-01,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08
ACEH,2022-01-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08
ACEH,2022-02-01,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08
ACEH,2022-03-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2022-04-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
ACEH,2022-05-01,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08
ACEH,2022-06-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08
ACEH,2022-07-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2022-08-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
ACEH,2022-09-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
ACEH,2022-10-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2022-11-01,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08
ACEH,2022-12-01,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08
ACEH,2023-01-01,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
ACEH,2023-02-01,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08
ACEH,2023-03-01,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08
ACEH,2023-04-01,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08,1.5873015621063245e-08
ACEH,2023-05-01,1.4925372911561597e-08,1.4925372911561597e-08,1.4925372911561597e-08,1.4925372911561597e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08
ACEH,2023-06-01,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4285714081632656e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
ACEH,2023-07-01,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08
ACEH,2023-08-01,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08
ACEH,2023-09-01,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08,1.4705882136678204e-08
ACEH,2023-10-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
ACEH,2023-11-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2023-12-01,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
ACEH,2024-01-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
ACEH,2024-02-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
ACEH,2024-03-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
