,1/31/2019,2/31/2019,3/31/2019,4/31/2019,5/31/2019,6/31/2019,7/31/2019,8/31/2019,9/31/2019,10/31/2019,11/31/2019,12/31/2019,1/31/2020,2/31/2020,3/31/2020,4/31/2020,5/31/2020,6/31/2020,7/31/2020,8/31/2020,9/31/2020,10/31/2020,11/31/2020,12/31/2020,1/31/2021,2/31/2021,3/31/2021,4/31/2021,5/31/2021,6/31/2021,7/31/2021,8/31/2021,9/31/2021,10/31/2021,11/31/2021,12/31/2021,1/31/2022,2/31/2022,3/31/2022,4/31/2022,5/31/2022,6/31/2022,7/31/2022,8/31/2022,9/31/2022,10/31/2022,11/31/2022,12/31/2022,1/31/2023,2/31/2023,3/31/2023,4/31/2023,5/31/2023,6/31/2023,7/31/2023,8/31/2023,9/31/2023,10/31/2023,11/31/2023,12/31/2023,1/31/2024,2/31/2024,3/31/2024,4/31/2024,5/31/2024,6/31/2024,7/31/2024,8/31/2024,9/31/2024,10/31/2024,11/31/2024,12/31/2024,1/31/2025,2/31/2025,3/31/2025,4/31/2025,5/31/2025,6/31/2025,7/31/2025
SULAWESI SELATAN,2054894,1402775,1654575,1799377,1653101,2395339,1917506,2516211,2106120,2341121,2345045,2230009,1027653,932636,759362,287133,308242,547513,663996,909748,850322,959171,906014,1063264,743342,724546,847765,765199,937945,928134,838925,723167,824543,960245,842440,1091834,930906,803391,3267252,3768595,4619651,2492319,2732814,2136650,1803376,1922182,1834305,2287771,2682502,2225280,2455952,2503880,2472401,1983399,2212555,1397173,1188982,1177955,1233382,3893499,3390270,3016298,2891023,3551378,3087984,3145350,3036552,2541035,2667584,2634716,2617820,3938280,3985023,3190590,3333448,4451289,3381004,3699289,3372919
SULAWESI TENGGARA,534762,405350,436423,487941,445093,621228,487514,532628,439248,303878,300770,580664,206468,193500,143516,71545,71224,106867,146936,181890,206855,193265,191705,269241,209867,189183,208125,187883,237647,212043,190375,179936,214553,237909,220257,293377,243982,220654,1495127,1585129,1592211,1050720,1231851,1097809,1044426,1056378,1136194,1028565,1372219,1299527,1389727,1281173,1294740,899696,838914,480612,376071,365686,386244,1085338,1200314,1145554,1039727,1442912,1070042,1110037,1020919,938098,970484,960677,951998,1095611,1091515,1001930,907009,1314878,1067016,1213254,1067152
GORONTALO,90789,48019,84467,102283,109827,163192,123297,131352,106151,139035,120291,127908,48443,44850,54723,33603,27476,49003,68769,83192,94892,108500,101882,132725,90759,92165,103269,89741,117211,100327,92090,85478,97555,104446,93069,122720,104369,88530,151616,140420,189314,130595,140784,113456,109350,100365,92496,117518,139879,114908,132863,164216,162712,154749,156871,134793,139730,131858,125945,347397,284274,270873,274795,376567,285885,287451,258399,255357,279435,256219,252004,356180,382319,368976,366701,491534,431899,486232,432676
SULAWESI BARAT,197588,134391,163587,174495,152740,221961,173239,262037,204889,242300,236861,210792,105991,97671,69873,26873,22014,49222,61561,80440,75891,75517,75153,110693,124447,77882,81571,70523,88146,91217,89158,80028,90870,91955,86912,109793,86174,83763,425016,516032,611768,409575,442861,373165,318147,311722,310736,345542,423949,380529,425711,399963,406264,297134,294755,157794,110449,111448,126041,376924,396450,354721,325813,443291,342758,344329,337003,271517,275975,272051,263986,380630,400851,385842,351054,471950,342724,431199,375496
MALUKU,258094,193290,206894,216036,228658,224863,111095,104002,91767,96055,97869,243228,38562,36768,29688,10479,7978,11914,15625,21065,23965,29428,30269,147307,78120,47482,48787,71019,50091,55585,32749,38200,46237,52031,51355,68109,41334,35725,49734,57885,56722,51382,48932,46979,52568,52357,43671,75278,66046,49253,55659,62401,75390,85195,77652,78196,69657,79054,78630,284711,190408,156854,161337,190504,141499,117608,121575,114005,124803,128517,120832,288504,313240,275693,266268,375432,279052,290252,303821
MALUKU UTARA,125514,76500,166014,190003,163855,119683,102619,99582,85337,177456,163370,124114,46810,47758,38527,22439,12649,23881,36540,43536,47792,50275,48505,83999,68567,47555,54200,51844,57892,57866,44031,46619,51543,67386,51408,73794,60617,55228,141231,152337,166862,140421,157797,135693,132686,119219,115762,133388,118409,109334,136684,142086,148300,162908,157597,144689,135130,126786,123916,302181,190002,174338,163305,206819,161274,143794,147500,145836,192976,195417,195588,302832,310296,280887,284913,337719,277836,295094,292487
PAPUA BARAT,77687,68237,70936,61674,74772,73864,75231,66455,29172,38929,37917,76759,46741,44158,34282,9348,11657,17414,22301,23616,23906,26119,32062,50886,56475,49044,41249,35284,31565,42558,26814,29913,42337,40861,33842,55063,35776,30984,37297,34020,38551,39956,39706,40948,39159,40627,36457,56395,14065,11753,12637,12287,16148,21504,20834,18017,16544,17510,20199,73642,44841,38474,35649,36469,30025,24109,27033,24313,26314,27093,27863,76974,80903,76976,71624,74778,60285,68353,77289
PAPUA BARAT DAYA,107600,74857,88967,90413,86939,98254,89553,91765,44326,54468,56703,103821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33379,27168,28338,27472,33634,40518,37735,35312,30455,36365,37502,139420,87002,75511,73040,76064,68339,60563,61443,52517,71579,73886,75754,141714,144575,123065,130684,143347,130033,136113,142588
PAPUA,182145,114406,123340,114017,127007,140716,133551,134582,98964,118066,116762,162635,75045,73078,57571,24783,26829,35260,45320,46725,50583,55847,58583,136898,124573,56995,69170,86207,56054,86681,50949,48378,90643,79326,63345,114802,71001,63721,76243,69361,77379,81989,86039,84147,78700,81068,78388,111840,49118,37892,43772,46197,49978,65185,63362,57676,54610,59504,62385,242084,129823,102856,103119,107380,90245,80858,87182,74030,87165,84662,85704,236682,247409,193885,189094,222813,218825,249893,268807
PAPUA SELATAN,33049,22421,24413,19659,24773,25402,24994,24147,22190,25997,28259,29814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6254,5418,6289,5557,6878,10125,8024,8011,7002,8132,8961,34956,22881,17468,15993,17842,13477,10197,11089,9672,10491,10769,10193,28747,28904,24083,31420,32860,26497,29870,34839
PAPUA TENGAH,59607,44456,47250,42320,49024,48416,47175,39415,33459,40876,40095,54849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21702,16807,19585,18406,21920,33055,28814,25781,23722,27449,30827,70398,47850,39547,37022,32192,28351,20750,24028,26024,35126,35605,38393,76550,79813,63870,61903,75801,71634,69478,87135
PAPUA PEGUNUNGAN,38588,28574,29957,33286,34624,25967,28903,26765,20207,19967,27678,32883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17456,16219,17548,17757,21718,25201,22885,22639,21710,24214,23284,71884,32767,35410,28300,23991,23709,20894,20994,22665,31259,31668,34146,73489,61387,45561,62979,55386,63998,63471,72101
INDONESIA,60784241,44588823,56669168,57856792,51548736,78691516,57739472,64307041,55406504,62173655,62559134,69833651,57345615,52019499,42460578,23897105,25547222,34224111,44005325,48374243,42407466,46979081,47981218,59329929,45554772,45396070,48808832,46803737,53772233,49405403,34572439,40358586,51330541,62821537,60989058,73486251,62984438,55926333,80228414,49222973,78828783,57978940,63216544,52715635,53904027,60040211,53859398,65958997,78690676,65805119,66087349,71628779,77580803,73773786,73686798,58677380,60154669,62697439,60331911,90552829,90501668,81107173,78956390,104527211,82909661,83472282,77243874,75878249,83361184,81428892,80612557,101084890,102998948,90497800,88909481,128587806,97673863,105115881,100197984
